source,type,code_ocr,short_name_ocr,description_ocr,status
0336,DEDUCTION,894S,ЗадолжПодотчСумПроезБагаж,Удержания командировочных расходов за проезд багажа,OCR_NEEDS_REVIEW
0336,DEDUCTION,894Q,ЗадолжПодотчСумПроезБагаж,Удержания командировочных расходов за обучение,OCR_NEEDS_REVIEW
0336,DEDUCTION,894P,ЗадолжПодотСумПрофОбучЗая,Удержания командировочных расходов,OCR_NEEDS_REVIEW
0336,DEDUCTION,894E,ЗадолжПодотчСуммПрочРасРу,Удержания командировочных расходов,OCR_NEEDS_REVIEW
0336,DEDUCTION,893Z,ЗадолжПодотчСуммПрочРасРу,Удержания долга за предыдущий месяц с сотрудника работающего по договору ГПХ,OCR_NEEDS_REVIEW
0336,DEDUCTION,8930,Долг за РаботникомСумма,работниками),OCR_NEEDS_REVIEW
0336,DEDUCTION,8935,Долг за РаботникомУвел,работниками),OCR_NEEDS_REVIEW
0336,DEDUCTION,893M,ДолгЗаРаботникомСум73*сч.,"Удержания долга за предыдущий месяц с компенсационных выплат, стипендии",OCR_NEEDS_REVIEW
0336,DEDUCTION,893A,ДолгЗаРаботником,Удержания долга за предыдущий месяц,OCR_NEEDS_REVIEW
0336,DEDUCTION,892D,ЗаПорчУтерюСпецОдеждаСум.,Удержания за спец.одежду по заявлению сотрудника,OCR_NEEDS_REVIEW
0336,DEDUCTION,891Z,СтрахВзнДогЛичнСтрахСум70,страховые взносы работников по договорам личного страхования,OCR_NEEDS_REVIEW
0336,DEDUCTION,891D,СтрахВзнДогЛичнСтрахСум70,страховые взносы работников по договорам личного страхования,OCR_NEEDS_REVIEW
0336,DEDUCTION,891B,СтрахВзнДогЛичнСтрахСум73,страховые взносы работников по договорам личного страхования (с начислений с 73 счета),OCR_NEEDS_REVIEW
0336,DEDUCTION,890P,УдержДенКомпЗаЗадержВыпл,сотрудника.,OCR_NEEDS_REVIEW
0336,DEDUCTION,889X,УдержаниеАлиментыНаДетей%,Удержание алиментов на детей. Исполнительный документ в %,OCR_NEEDS_REVIEW
0336,DEDUCTION,889P,АлиментыНаДетейСумма.,Удержание алиментов на детей. Ручной ввод.,OCR_NEEDS_REVIEW
0336,DEDUCTION,889B,Выплата алиментовСуммой,суммы,OCR_NEEDS_REVIEW
0336,DEDUCTION,889A,УдержаниеАлиментыНаДетей%,Удержание алиментов на детей. Исполнительный документ в %,OCR_NEEDS_REVIEW
0336,DEDUCTION,887Z,"ЗадолжКоммуналУслОАО""РЖД""",Удержание за коммунальные услуги с сотрудников (жилье ОАО РЖД),OCR_NEEDS_REVIEW
0336,DEDUCTION,887T,ЗадолКоммУслСуммПрошлПер,Удержание за коммунальные услуги за прошлый период,OCR_NEEDS_REVIEW
0336,DEDUCTION,886X,УдержПоИсполнДокумОрганиз,"Удержание по исполнительным документам в пользу государства, разных организаций и",OCR_NEEDS_REVIEW
0336,DEDUCTION,886B,УдержПоИсполнДокумФизЛица,"Удержание по исполнительным документам в пользу государства, разных организаций и",OCR_NEEDS_REVIEW
0336,DEDUCTION,883A,НалогНаДохФизЛицаУдер%,"Налог на доходы с облагаемого совокупного дохода, перечисляемый в бюджет",OCR_NEEDS_REVIEW
0336,DEDUCTION,881Z,РазВыплДопБанкСум_7001*,Разовые выплаты,OCR_NEEDS_REVIEW
0336,DEDUCTION,881X,РазВыпБ/Лист-305Банк7001*,Разовые Выпать по материальной помощи к отпуску / либо разъезднае 4614°,OCR_NEEDS_REVIEW
0336,DEDUCTION,881B,РазВыплОтпускБанк_7001*,Разовые выплаты по отпуску,OCR_NEEDS_REVIEW
0336,DEDUCTION,881A,РазовВыплатБанк_7001*,Разовые выплаты стипендии по ученическим договорам,OCR_NEEDS_REVIEW
