source,type,code,short_name,description,status
0336,DEDUCTION,894S,ЗадолжПодотчСумПроезБагаж,Удержания командировочных расходов за проезд багажа,CONFIRMED
0336,DEDUCTION,894Q,ЗадолжПодотчСумПрофОбучЗая,Удержания командировочных расходов за обучение,CONFIRMED
0336,DEDUCTION,894P,ЗадолжПодотчСуммКоманРасР,Удержания командировочных расходов,CONFIRMED
0336,DEDUCTION,894E,ЗадолжПодотчСуммПрочРасРу,Удержания командировочных расходов,CONFIRMED
0336,DEDUCTION,893Z,ДолгЗаРаботнНесписочСумма,Удержания долга за предыдущий месяц с сотрудника работающего по договору ГПХ,CONFIRMED
0336,DEDUCTION,893U,Долг за РаботникомСумма,Удержание в погашение задолженности организации по заработной плате (долги за работниками),CONFIRMED
0336,DEDUCTION,893S,Долг за РаботникомУвел,Удержание в погашение задолженности организации по заработной плате (долги за работниками),CONFIRMED
0336,DEDUCTION,893M,ДолгЗаРаботникомСум73*сч.,"Удержания долга за предыдущий месяц с компенсационных выплат, стипендии",CONFIRMED
0336,DEDUCTION,893A,ДолгЗаРаботником,Удержания долга за предыдущий месяц,CONFIRMED
0336,DEDUCTION,892D,ЗаПорчУтерюСпецОдеждаСум.,Удержания за спец.одежду по заявлению сотрудника,CONFIRMED
0336,DEDUCTION,891Z,СтрахВзнДогЛичнСтрахСум70,Страховые взносы работников по договорам личного страхования,CONFIRMED
0336,DEDUCTION,891D,СтрахВзнДогЛичнСтрахСум70,Страховые взносы работников по договорам личного страхования,CONFIRMED
0336,DEDUCTION,891B,СтрахВзнДогЛичнСтрахСум73,Страховые взносы работников по договорам личного страхования (с начислений с 73 счета),CONFIRMED
0336,DEDUCTION,890P,УдержДенКомпЗаЗадержВыпл,"Удержания денежной компенсации за задержку выплаты заработной платы, отпускных по заявлению сотрудника",CONFIRMED
0336,DEDUCTION,889X,УдержаниеАлиментыНаДетей%,Удержание алиментов на детей. Исполнительный документ в %,CONFIRMED
0336,DEDUCTION,889P,АлиментыНаДетейСумма.,Удержание алиментов на детей. Ручной ввод.,CONFIRMED
0336,DEDUCTION,889B,Выплата алиментовСуммой,Удержание алиментов на детей. Исполнительный документ в размере фиксированной суммы,CONFIRMED
0336,DEDUCTION,889A,УдержаниеАлиментыНаДетей%,Удержание алиментов на детей. Исполнительный документ в процентах,CONFIRMED
0336,DEDUCTION,887Z,"ЗадолжКоммуналУслОАО""РЖД""",Удержание за коммунальные услуги с сотрудников (жилье ОАО РЖД),CONFIRMED
0336,DEDUCTION,887T,ЗадолКоммУслСуммПрошлПер,Удержание за коммунальные услуги за прошлый период,CONFIRMED
0336,DEDUCTION,886X,УдержПоИсполнДокумОрганиз,"Удержание по исполнительным документам в пользу государства, разных организаций и лиц",CONFIRMED
0336,DEDUCTION,886P,УдержПоИсполнДокумОрганиз,"Удержание по исполнительным документам в пользу государства, разных организаций и лиц",CONFIRMED
0336,DEDUCTION,886B,УдержПоИсполнДокумФизЛица,"Удержание по исполнительным документам в пользу государства, разных организаций и лиц",CONFIRMED
0336,DEDUCTION,883A,НалогНаДохФизЛицаУдер%,"Налог на доходы с облагаемого совокупного дохода, перечисляемый в бюджет",CONFIRMED
0336,DEDUCTION,881Z,РазВыплДопБанкСум_7001*,Разовые выплаты,CONFIRMED
0336,DEDUCTION,881X,РазВыпБ/Лист-305Банк7001*,Разовые выплаты по больничному листу,CONFIRMED
0336,DEDUCTION,881B,РазВыплОтпускБанк_7001*,Разовые выплаты по отпуску,CONFIRMED
0336,DEDUCTION,881A,РазовВыплатБанк_7001*,Разовые выплаты по материальной помощи к отпуску,CONFIRMED
0336,DEDUCTION,8818,РазовВыплатБанк_769102*,Разовые выплаты стипендии по ученическим договорам,CONFIRMED
0336,DEDUCTION,8817,РазовВыплатБанк_762400*,Разовые выплаты,CONFIRMED
0336,DEDUCTION,8816,РазовВыплатБанк_7390*,Разовые выплаты,CONFIRMED
0336,DEDUCTION,8810,РазовВыплатБанк_600191*,Разовые выплаты,CONFIRMED
0336,DEDUCTION,880A,ПлановыйАванс%ОтОкладБанк,Плановый аванс,CONFIRMED
0336,DEDUCTION,8802,ВторпромежутАвансБанк,Второй промежуточный аванс,CONFIRMED
0336,DEDUCTION,8801,ПервпромежутАвансБанк,Первый промежуточный аванс,CONFIRMED
0337,DEDUCTION,932D,УдДопЛичнВзнЕдинВознСтаж,*дополнительный личный взнос с единовременного вознаграждения по стажу (преданность компании),CONFIRMED
0337,DEDUCTION,932A,"УдержНегосПФ""Благосост.""",Страховые взносы в негосударственный пенсионный фонд «Благосостояние»,CONFIRMED
0337,DEDUCTION,930S,ПогашСсудыКасВзПомощиСч73,"Удержание денежных средств в погашение ссуды, полученной из кассы взаимопомощи (с начислений по 73 сч.)",CONFIRMED
0337,DEDUCTION,930P,ПогашениеСсудыКасВзПомощи,"Удержание денежных средств в погашение ссуды, полученной из кассы взаимопомощи",CONFIRMED
0337,DEDUCTION,927U,УдержЗаДрВидыУслугБезЧека,Удержание платы за другие виды услуг (без чека),CONFIRMED
0337,DEDUCTION,927D,УдержаниеЗаДрВидыУслуг,Удержание платы за другие виды услуг,CONFIRMED
0337,DEDUCTION,916Z,УдрСтНаймЖилПомещСФУслОАО,Удержания по заявлению работника оплаты стоимости найма жилого помещения в специализированном жилищном фонде ОАО «РЖД» (услуги ОАО «РЖД»),CONFIRMED
0337,DEDUCTION,916R,УдрСтНаймЖилПомСпецФонд73,Удержания по заявлению работника оплаты стоимости найма жилого помещения в специализированном жилищном фонде ОАО «РЖД» за текущий период (с начислений с 73 счета),CONFIRMED
0337,DEDUCTION,916P,УдрСтНаймЖилПомещСпецФонд,Удержания по заявлению работника оплаты стоимости найма жилого помещения в специализированном жилищном фонде ОАО «РЖД» за текущий период,CONFIRMED
0337,DEDUCTION,916I,УдрСтНаймЖилПомСфПрошлПер,Удержания по заявлению работника оплаты стоимости найма жилого помещения в специализированном жилищном фонде ОАО «РЖД» за прошлый период,CONFIRMED
0337,DEDUCTION,914Z,УдСт-тиПутевАвансПлПрочие,Удержание стоимости путевки (удержание авансового платежа) (*прочие санатории и пансионаты),CONFIRMED
0337,DEDUCTION,914Y,УдСт-тиПутевАвансПлДорожн,"Удержание стоимости путевки (удержание авансового платежа) (*санатории, пансионаты и т.д. дорожные)",CONFIRMED
0337,DEDUCTION,914X,"УдСтоимПутевкАванПл""Здор","Удержание стоимости путевки (удержание авансового платежа) (*санатории, пансионаты АО «РЖД-ЗДОРОВЬЕ»)",CONFIRMED
0337,DEDUCTION,911Z,ПеречислИпотечСубсидСумма,"Перечисление суммы ипотечной субсидии на счет работника, заключившего договор ипотечного кредита с уполномоченным банком",CONFIRMED
